iter	Passed	Remaining
0	1	129
1	2	119
2	3	120
3	4	111
4	5	110
5	6	107
6	7	105
7	9	103
8	10	101
9	11	100
10	12	99
11	13	98
12	14	97
13	15	95
14	16	94
15	17	93
16	18	92
17	20	91
18	21	89
19	22	88
20	23	87
21	24	85
22	25	84
23	26	83
24	27	81
25	28	80
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	34	74
32	36	73
33	37	72
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	63
41	44	62
42	46	61
43	47	59
44	48	58
45	49	58
46	51	57
47	52	57
48	53	56
49	54	54
50	55	53
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	63	47
57	64	46
58	65	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	73	39
65	74	38
66	75	37
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	82	29
74	83	27
75	84	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	19
82	92	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
